ID_Libro,Titulo,Autor-a,Año,Categoria_Principal,Enfoque_Especifico,Tipo_Documento,Etiquetas,ID_Drive,Link_Previsualizacion,Link_Descarga
LIB-081,Realism and the Audiovisual Media,Lúcia Nagib,2009,Cine,Cine,Documento Completo,,,,
LIB-082,HOMOVIDENS LA SOCIEDAD TELEDIRIGIDA,GIOVANNI SARTORI,1997,Sociologia,Sociologia,Documento Completo,,,,
LIB-083,SCREENING BOREDOM THE HISTORY AND AESTHETICS OF SLOW CINEMA,Orhan Emre Çağlayan,2014,Cine,Cine,Tesis,,,,
LIB-084,Seminario 23  1975-1976  EL SÍNTHOMA,Jacques Lacan,1975,Psicoanalisis,Psicoanalisis,Documento Completo,,,,
LIB-085,Sobre la fotografía,Susan Sontag,1973,Arte,Teoría del Arte,Documento Completo,Teoría del Arte,,,
LIB-086,Propaganda Art From the 20  th to the 21st Century,Jonas Staal,2018,Sociologia,Sociologia,Documento Completo,,,,
LIB-087,Teoría del montaje a distancia,Artavazd Peleshyán,2011,Cine,Cine,Documento Completo,,,,
LIB-088,The Politics of Impurity,Lúcia Nagib,2013,Cine,Cine,Articulo,,,,
LIB-089,The Relativity of Life: Cinema as Time Microscope ,Paul Atkinson,2021,Cine,Cine,Articulo,,,,
LIB-090,El teatro en el cine de Manoel de Oliveira,Luis Miguel Cintra,2015,Cine,Cine,Articulo,,,,
LIB-091,SPINOZA Y NUSSBAUM: EN DEFENSA DE LAS EMOCIONES,Germán Bula,2008,Filosofia,Filosofia,Articulo,,,,
